French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
attention,Warning
type,type
leurs,their
train,train
corps,body
yeux,eyes
premier,first
main,hand
pouvoir,power
vieux,old
matin,morning
suite,after
demandé,request
belle,beautiful
droit,law
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
croire,believe
gros,large
aura,will have
jouer,to play
bureau,office
